movie_id,primary_title,runtime_minutes,genres,averagerating,numvotes
tt1618467,Booked Out,86.0,"Comedy,Drama,Romance",7.5,84
tt1620785,"How Much Does Your Building Weigh, Mr Foster?",78.0,"Biography,Documentary",7.1,640
tt1624411,Ventanas al mar,100.0,Drama,5.6,32
tt1625155,Blood of My Blood,131.0,"Drama,Thriller",7.4,1636
tt1628022,Thunderlust (and the Middle Beast),82.0,"Comedy,Music",7.8,5
tt1628043,Joint Body,86.0,"Crime,Thriller",5.4,195
tt1629739,The Big Black,105.0,"Drama,Thriller",7.3,23
tt1629757,Chasing Mavericks,116.0,"Biography,Drama,Sport",7.2,28994
tt1630311,Butterfly Crush,89.0,"Drama,Musical,Romance",4.8,32
tt1630607,Nostrum,79.0,Horror,3.5,210
tt1633248,The Glass River,100.0,Drama,5.7,56
tt1633334,"Coals to Newcastle: The New Mastersounds, from Leeds to New Orleans",79.0,"Documentary,Music",8.4,11
tt1635429,Cherkess,117.0,Drama,5.7,110
tt1639427,My Back Pages,141.0,Drama,6.3,137
tt1640219,Locked in a Room,112.0,"Horror,Thriller",2.8,114
tt1640484,Jumping the Broom,112.0,"Comedy,Drama",5.7,9089
tt1642248,Killer Ink,92.0,Horror,5.6,64
tt1645141,Sironia,105.0,"Drama,Musical",5.8,148
tt1647446,Pet Pals,95.0,"Adventure,Animation,Family",5.5,86
tt1650516,Dead Genesis,98.0,"Action,Horror,Thriller",3.4,491
tt1650533,Cultures of Resistance,73.0,Documentary,7.4,88
tt1651906,Mzungu (n.) White-Wanderer,80.0,"Adventure,Documentary,Drama",9.2,9
tt1655416,Mental,116.0,"Comedy,Drama",6.2,4670
tt1655420,My Week with Marilyn,99.0,"Biography,Drama",7.0,79337
tt1659253,Thorne: Scaredycat,120.0,"Crime,Drama,Mystery",6.5,1603
tt1659343,Universal Soldier: Day of Reckoning,114.0,"Action,Horror,Mystery",5.1,18206
tt1660393,Man at Sea,92.0,Drama,5.7,63
tt1661420,Polisse,127.0,"Crime,Drama",7.3,12506
tt1662557,No Mercy,125.0,"Action,Crime,Thriller",7.4,4869
tt1662615,The Absence That Moves Us,95.0,Drama,7.0,46
tt1662634,Bentein men misr,125.0,Drama,7.2,430
tt1663202,The Revenant,156.0,"Action,Adventure,Biography",8.0,621193
tt1664837,Roger's Pass,88.0,"Comedy,Drama",8.3,25
tt1665807,Le ombre degli angeli,95.0,Drama,7.2,6
tt1667417,Dirty Little Trick,88.0,"Crime,Thriller",3.7,484
tt1668191,Hunting Season,140.0,"Crime,Drama,Mystery",7.5,27146
tt1671494,A Butterfly Kiss,101.0,Drama,5.6,136
tt1671509,The Darkest Corner of Paradise,72.0,"Drama,Thriller",6.8,23
tt1671513,Four Horsemen,97.0,"Documentary,News",7.8,2553
tt1671714,Sangue e cemento,,Documentary,7.1,13
